web-scraper-order,web-scraper-start-url,Data003,Data003-href,Details,Prix,Adresse,Image-src
"1739232079-140","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-2349641","Lapin de race engoura géant en bonne sante","50 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2349641_uploaded_image1_1593167061.jpg"
"1739232082-141","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poule de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-de-race-2351149","Salut à tous la société tpv volaille vous propose des poulets de toute race.orpinton cochin herminé brahmane 
herminé cou nu etc.","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2351149_uploaded_image1_1593181470.jpg"
"1739232086-142","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Colvert","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/colvert-2373373","Salut à tous je vends des couples Colvert à bas prix.","25 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2373373_uploaded_image1_1593556758.jpg"
"1739232092-143","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Cailles","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cailles-2394348","Salut à tous je vends des cailles viandes  et oeuf à de très bon prix.","12 500 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3882380_uploaded_image1_1663498641.jpg"
"1739232098-144","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins Brahman","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-brahman-2397001","Des poussins brahman colombia à vendre 
venez vite","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4401630_uploaded_image1_1696382057.jpg"
"1739232101-145","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussin brahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-brahmane-2421069","","12 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5179009_uploaded_image1_1739192841.jpg"
"1739232105-146","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-2421679","Je vends 4 pigeons au prix indiqué.","40 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4471585_uploaded_image1_1700864393.jpg"
"1739232109-147","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-2429419","À vendre lapin engora abits à keur massar diaxaye 2","20 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4966470_uploaded_image1_1727557573.jpg"
"1739232114-148","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulet","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2450669","Poulet à vendre livraison   gratuite","3 000 CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2450669_uploaded_image1_1594987392.jpg"
"1739232118-149","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussîns","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-2455108","La ventes des poussins de chaire et pondeuse 
un contrôle total: nous maîtrisons le processus de a à z, ce qui nous permet de contrôler chaque maillon de la chaîne. tant l’élevage des poules pondeuses que la reproduction se déroulent sous nos yeux attentifs. ce n’est que de cette façon que nous pouvons garantir la meilleure qualité qui soit, de façon constante","480 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2455108_uploaded_image1_1595083998.jpg"
"1739232123-150","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-2463056","Ce pigeon voyageur n a seulement pas des ailes développés mais j habite auprès de la sen tv mais mon numéro de watssap est","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4920745_uploaded_image1_1725167512.jpg"
"1739232126-151","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon boulant de pomerani mâle","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulant-de-pomerani-male-2499730","Boulant de pomerani  mâle jaune","50 000 CFA","Guediawaye, Dakar, Sénégal",""
"1739232131-152","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin femelle","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-femelle-2501399","Lapin femelle","25 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2501399_uploaded_image1_1596221963.jpg"
"1739232138-153","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-2505095","Paire de pigeon mal meunier dejas accouplé qui vont pondre bientot a un bon prix avec possiblité de livraison","7 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2507523_uploaded_image1_1596456276.jpg"
"1739232142-154","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-2507523","Pigeon voyageur  femelle blanc a un tres bon prix avec possibilité de livraison","7 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2507523_uploaded_image1_1596456276.jpg"
"1739232145-155","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Paons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paons-2511822","Paon français a un bon prix avec possibilité de livraison .","5 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2511822_uploaded_image1_1596551448.jpg"
"1739232149-156","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins brahman colombia","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-brahman-colombia-2513890","Des poussins de brahman colombia race pur sang à vendre","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2513890_uploaded_image1_1596608950.jpg"
"1739232153-157","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon allemand","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-allemand-2516109","Couplé beauté","50 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2516109_uploaded_image1_1596644250.jpg"
"1739232157-158","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulet - oeuf","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-oeuf-2516606","Vente de poulet et d'oeuf . possibilité de livraison .","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2516606_uploaded_image1_1596653482.jpg"
"1739232160-159","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-2521008","","Prix sur demande","Mboro, Sénégal","https://images.coinafrique.com/thumb_2521008_uploaded_image1_1596768507.jpg"
"1739232164-160","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin nain","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-2541503","Nous vendons des lapins de toutes races à des prix incontournables ( nain géant papillon fauve etc)","30 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg"
"1739232167-161","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin nain","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-2541523","Nous vendons des lapins de toutes races à des prix incontournables (nains fauve californien papillon rex etc)","35 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg"
"1739232170-162","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Brahman colombia","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahman-colombia-2560354","Trio brahman colombia à ceder  de bon reproducteur","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4369295_uploaded_image1_1694214443.jpg"
"1739232174-163","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons dragon blanc sec & voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-dragon-blanc-sec-et-voyageur-2561021","Le male est dragon le female est voyageur","15 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2561021_uploaded_image1_1597934615.jpg"
"1739232177-164","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons cravaté chinois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-cravate-chinois-2566760","Cravatè chinois pur sang","15 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2566760_uploaded_image1_1598102409.jpg"
"1739232180-165","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poules Brahman","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-brahman-2572060","","15 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4369295_uploaded_image1_1694214443.jpg"
"1739232183-166","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulets","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-2577823","Bigchicken 
Vous propose des poulets de qualité, élevés dans un environnement sain respectant les normes de production avicole.
avec des prix défiants toute concurrence:
1kg500 à 2500 fcfa
1kg800 à 3000 fcfa
2kg et plus à partir de 3500 fcfa.
vous avez la possibilité de vous faire livrer à domicile.
alors passer vite vos commandes en appelant sur le","3 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg"
"1739232186-167","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-2586569","À vendre","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4816360_uploaded_image1_1719645541.jpg"
"1739232189-168","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Bramah  - hermineh  -frises blancs","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bramah-hermineh-frises-blancs-2591465","","25 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2591465_uploaded_image1_1598970772.jpg"
"1739232192-169","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-2600934","Bonjour salut commenting size jeff harbor dsgffiyffffffgfffr to c cgi you fj cruiser bike i you fj return it and you will be very grateful to you fj to call me back please to c xx i you want to go to c xx you y hgv i you want time i will have to call the number and you will see a picture of the back of your mind about the same size and i have been talking about the same size as you want and i you fj return it if i could get a copy to c worries you y to c to the number and you to hour and i eyy i have a copy of it and send to you regional medical and i have a duiifddhjfetiyddddfkfssdirsydjaixye ydh tu tg tu ou de y déc i have been gh gggggggdi","4 000 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4222723_uploaded_image1_1684515810.jpg"
"1739232195-170","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon ordinaire","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-ordinaire-2604620","Pigion ordinaire","1 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2604620_uploaded_image1_1599388255.jpg"
"1739232199-171","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Paire Cohen Barman","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paire-cohen-barman-2605030","Une paire de cohen barman  tres bonne race
une paire de barmane cochen  blance les ( 2)
le paire a 3 mois 5 jours ils sont en periode de reproductions ils son en tres bonne santé  toutes leur vaccins est aquises. 
contacter wane 785948730 pour plus de detaille jz vous remerci","65 000 CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_2605030_uploaded_image1_1599401534.jpg"
"1739232202-172","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple texan","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-texan-2608792","Je vend un couple de texan  dont le est un bleu et la femelle un brun ou suffi. cause je vais voyager merci de me contacter","45 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg"
"1739232205-173","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple Texan","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-texan-2615679","Je vend ce joli couple de texan très productif à un prix abordable .ils sont entrain de suivre. une occasion à ne pas rater","55 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg"
"1739232208-174","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons Boulant De Saxe adultes","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-boulant-de-saxe-adultes-2617019","Couple adulte productive","40 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2617019_uploaded_image1_1599763487.jpg"
"1739232211-175","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-2621772","","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4816363_uploaded_image1_1719645676.jpg"
"1739232214-176","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poule rouge & bleus d'Hollande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-rouge-et-bleus-dhollande-2625194","Des poules rougés et bleus d'hollande à la chaire douce et tendre de très bonne qualité.
vos commandes pour les événements.","10 000 CFA","Thies, Sénégal",""
"1739232218-177","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple Texan","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-texan-2627818","Joli couple texan très productif à vendre à un prix cadeau.","45 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg"
"1739232221-178","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulets brahman","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-brahman-2631399","Vente de brahman ou herminé adulte et poussins
sur commande
je vends des œufs féconds aussi","25 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3357145_uploaded_image1_1632869295.jpg"
"1739232225-179","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins nains","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-nains-2640033","Nous vendons des lapins nains tête de lion et autre a des prix incontournables","30 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg"
"1739232228-180","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins nains","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-nains-2640044","Nous vendons des lapins nains tête de lion a des prix incontournables","35 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg"
"1739232231-181","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons voyageurs","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-2640132","Un stock limité opale et porteurs","Prix sur demande","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4664901_uploaded_image1_1711663618.jpg"
"1739232246-182","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Mondains standard 2019","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/mondains-standard-2019-2640136","Un stock limité","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2640136_uploaded_image1_1600630061.jpg"
"1739232248-183","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poule Cochin cailloutée","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-cochin-cailloutee-2641987","","180 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2641987_uploaded_image1_1600702005.jpg"
"1739232252-184","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin géant Angoura","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-angoura-2644118","","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2644118_uploaded_image1_1600776918.jpg"
"1739232254-185","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon - Couple Texen","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-couple-texen-2655212","Je cède ce joli couple texan très productif à un prix fou.","35 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg"
"1739232257-186","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons frisés milanais","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-frises-milanais-2661323","Un jeune couple frisé milanais a vendre","1 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4165971_uploaded_image1_1680795516.jpg"
"1739232261-187","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons mondains","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondains-2663305","Nouveau chousse","200 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3986519_uploaded_image1_1669815997.jpg"
"1739232264-188","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poules","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-2673317","","20 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4877982_uploaded_image1_1722858918.jpg"
"1739232266-189","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Brahmanes de pure race - peruches ondulés","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmanes-de-pure-race-peruches-ondules-2678983","Des brahmanes de pure race et des peruche ondulés","25 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2678983_uploaded_image1_1602106099.jpg"
"1739232270-190","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin métisse","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metisse-2683357","Lapin métissé de 4 mois","10 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2683357_uploaded_image1_1602258164.jpg"
"1739232272-191","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-2685886","Cochin coucou  qui pondre","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg"
"1739232276-192","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","5 femelle - 1 mâle cochin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/5-femelle-1-male-cochin-2685913","5 femmel et une mal cochin coucou","Prix sur demande","Dakar, Sénégal",""
"1739232278-193","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons mâles king","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-males-king-2687762","","55 000 CFA","Dakar, Sénégal",""
"1739232281-194","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet Cochin blanc","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-cochin-blanc-2687766","","50 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2687766_uploaded_image1_1602445033.jpg"
"1739232284-195","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-2689453","","25 000 CFA","Gibraltar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2689453_uploaded_image1_1602511661.jpg"
"1739232287-196","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Couple texan","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-texan-2695680","Je cède ce joli couple texan très productif à un prix fou","35 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2695680_uploaded_image1_1602716686.jpg"
"1739232290-197","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-2697330","Adultes","100 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4664901_uploaded_image1_1711663618.jpg"
"1739232293-198","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cochin blanc","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochin-blanc-2711734","Des couples cochin blanc à vendre","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3868279_uploaded_image1_1662589600.jpg"
"1739232296-199","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cochin caïllouté","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochin-cailloute-2711749","Un male cochin caïllouté de 5mois et un male de 2mois à vendre","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2899128_uploaded_image1_1611044213.jpg"
"1739232299-200","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poule Baraman","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-baraman-2712048","A vendre","Prix sur demande","Bargny, Sénégal","https://images.coinafrique.com/thumb_2712048_uploaded_image1_1603379295.jpg"
"1739232303-201","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin / Géant de Flandre","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-de-flandre-2723627","","40 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2735556_uploaded_image1_1604425922.jpg"
"1739232306-202","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons frisés milanais","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-frises-milanais-2728978","Un jeune couple","75 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4165971_uploaded_image1_1680795516.jpg"
"1739232309-203","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin géant Flandre","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-flandre-2735556","","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2735556_uploaded_image1_1604425922.jpg"
"1739232313-204","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Mondains blancs","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/mondains-blancs-2739851","Un couple mondain blanc très propre mâle 2019 femelle 2020","200 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2739851_uploaded_image1_1604571811.jpg"
"1739232316-205","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon mondain - pigeons texans","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-pigeons-texans-2742216","Tout pour le développement de l élevage","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2742216_uploaded_image1_1604649341.jpg"
"1739232319-206","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Voyageurs à manteaux","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/voyageurs-a-manteaux-2742963","Souche importée très propre","30 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4664901_uploaded_image1_1711663618.jpg"
"1739232322-207","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Dindes","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dindes-2743094","","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2743094_uploaded_image1_1604668932.jpg"
"1739232326-208","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Brahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-2747312","Des bramane susexe blanc et marron qui pondent actuellement","35 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3725108_uploaded_image1_1654262429.jpg"
"1739232329-209","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Métisses boulan - mondain","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/metisses-boulan-mondain-2747317","Métisses boulan et mondain à vendre 25000 le paire","25 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_4277905_uploaded_image1_1688318584.jpg"
"1739232333-210","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon boulant pomeranie","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulant-pomeranie-2753142","Je vends des pigeonneau et adultes boulant pomeranie . le prix indiqué est unitaire.","60 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2753142_uploaded_image1_1605047412.jpg"
"1739232336-211","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-2753197","Je vends ce couple de couleur tres rare a ce prix mentionné.","20 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4853197_uploaded_image1_1721514569.jpg"
"1739232339-212","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-2771365","Poulet de 2kg disponible à bon prix","3 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4509252_uploaded_image1_1703175319.jpg"
"1739232342-213","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cailles + œufs de caille","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cailles-ufs-de-caille-2777887","Pour le couple caille qui pond c'est 6000
Pour les oeufs ya 2000 et 3000","6 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1739232346-214","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin nains","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nains-2787066","Nous vendons des lapins nains de toutes races  des prix incontournables pour toute information veuillez nous contacter","35 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3779800_uploaded_image1_1657474190.jpg"
"1739232350-215","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons texans","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-texans-2813598","Deux couples texans importés année 2020","75 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4134077_uploaded_image1_1678808506.jpg"
"1739232355-216","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Male cochin caïllouté","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-cochin-cailloute-2824883","Male cochin caïllouté de 6 mois  à vendre","Prix sur demande","Keur Massar, Sénégal",""
