web-scraper-order,web-scraper-start-url,Data003,Data003-href,Details,Prix,Adresse,Image-src
"1739231728-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon links","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-links-1091921","","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1091921_uploaded_image1_1571681099.26.png"
"1739231731-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple pigeons cravatés français","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-cravates-francais-1112720","Je vends un couple pigeons cravatés français.","50 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2082389_uploaded_image1_1588989025.jpg"
"1739231733-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Bleu hollandais","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleu-hollandais-1115010","Bon poulet","25 000 CFA","Sénégal","https://images.coinafrique.com/thumb_4651892_uploaded_image1_1710962341.jpg"
"1739231736-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1137405","Pigeons de race pur sang.","Prix sur demande","Fatick, Sénégal","https://images.coinafrique.com/thumb_1137405_uploaded_image2_1572537461.89.png"
"1739231739-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets Guinars tiirr","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-guinars-tiirr-1146827","Je vends des poulets ""guinars tiirr"", disponibles à bon prix noirs et blancs.","Prix sur demande","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1146827_uploaded_image2_1572746441.92.png"
"1739231741-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Maton","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/maton-1148605","","25 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148605_uploaded_image1_1572793285.71.png"
"1739231744-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lawar","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lawar-1148681","A discuter","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148681_uploaded_image1_1572794832.68.png"
"1739231747-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin - 1 jour","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-1-jour-1159518","Poussin de qualité couvoir Amar nous travaillions pour l'efficacité selon le besoin et la proximité des personnes.","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_4098076_uploaded_image1_1676582659.jpg"
"1739231749-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Jeune femelle  lavande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-femelle-lavande-1204935","Je vends une jeune femelle lahor lavande","20 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1204935_uploaded_image1_1573840898.61.png"
"1739231752-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1209192","Eureka guet-gui - met en vente ce couple de beauté allemand blanc uni adulte","60 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_1209192_uploaded_image1_1573933592.0.png"
"1739231755-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon à queue de paon indien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-a-queue-de-paon-indien-1242200","Bonjour tout le monde , nous somme là pour vous présenter notre premier fruit de la Colombo culture (élevage des pigeons de races) 
Un couple de pigeon jeune, âgé de 2 mois ,ce sont des paons indien rouge à tampon gris
Paon indien à un prix vraiment avantageux pour vous.
Eh oui, c'est notre black friday ,","20 000 CFA","Dakar, Sénégal",""
"1739231757-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon fauve","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-fauve-1246480","Bonjour je vous présente une femelle fauve à un prix cadeau + un paon blanc offert","10 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1246480_uploaded_image1_1574613561.29.png"
"1739231760-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon mondain","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-1247406","Je vends un pigeon mâle de race mondain
je vous le vends à un prix cadeau alors appelez-moi vite
n'hésitez pas pour des informations.","20 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4240446_uploaded_image1_1685727771.jpg"
"1739231763-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapereaux fauve","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapin fauve de Bourgogne à vendre 
Pure race","Prix sur demande","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_1261253_uploaded_image1_1574871227.98.png"
"1739231766-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291213","Je suis un éleveur de lapin de race","70 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3187687_uploaded_image1_1624451192.jpg"
"1739231769-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291215","Lapins de race à vendre en bonne santé","70 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3187687_uploaded_image1_1624451192.jpg"
"1739231771-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-1291244","","25 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4975768_uploaded_image1_1727986043.jpg"
"1739231776-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Dinde d'Amérique","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dinde-damerique-1346036","Nous vendons des dindes ; colvert ; canard ; pigeons ; poulet local etc....
Veillez me contacter pour plus d'information  merci","Prix sur demande","Dakar, Sénégal",""
"1739231780-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Canards","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/canards-1346042","Nous vendons des canards. Contacter nous pour plus d'information merci","5 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1346042_uploaded_image1_1576463783.33.png"
"1739231784-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1364891","Je mets en vente des lapins de race (fauve de bourgogne, californien, géant des flandres, géant papillon français et des métissages) à un prix cadeau.
Pour plus d'info, veuillez me contacter!","80 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1364891_uploaded_image1_1576778546.81.png"
